log2FoldChange	padj
304309	-0.873847885187839	NA
469478	0.917148119303353	0.551270647632348
208196	0.556420969606896	NA
358030	0.261950826333911	NA
16076	-0.792577452332588	0.172175337143367
35786	0.0814054174316455	NA
296165	0.388501832703091	NA
174920	0.263638299179639	NA
117676	-0.727626666838012	0.327847512713278
326792	0.208025537903032	NA
11380	0.343412999774014	NA
527323	0.324382593095637	NA
181344	0.261950826333911	NA
561483	-0.515305513556952	0.618461305054395
184450	-0.215159148664398	NA
272955	0.111777564389644	NA
241674	0.172521858305642	NA
301062	0.142152921131767	NA
220782	0.294010446137638	NA
177005	-0.937354821021815	0.0487687267732575
579750	0.324382593095637	NA
469778	-2.99224536333788	0.142591877079098
149335	-0.102514937162076	NA
249661	-0.343977413262952	0.735792838287815
110317	-0.54346773156473	0.629963502234037
345556	0.261950826333911	NA
348377	0.294010446137638	NA
205119	-0.0349554482864484	NA
555547	0.204581478109369	NA
344111	0.261950826333911	NA
230936	0.261950826333911	NA
266445	0.231578679375912	NA
527741	0.261950826333911	NA
553728	0.324382593095637	NA
180368	0.263638299179639	NA
60136	0.326070065941365	NA
181016	-0.247104184981509	0.808901107363997
253953	-0.242392275102603	NA
297708	0.261950826333911	NA
241520	0.356442212899364	NA
148303	0.261950826333911	NA
215231	0.142150343328881	NA
308873	-0.66039225684586	0.195315925719483
565812	0.583848933082408	NA
445073	-0.600366154757384	0.605825198124615
581773	0.324382593095637	NA
514445	0.140462238501915	NA
167602	0.284970577986921	NA
340615	-1.24742145296696	0.00292515225736935
227785	0.110090091543916	NA
185117	0.329506895899076	NA
253550	0.326070065941365	NA
368928	0.0830942939891249	NA
527327	0.261950826333911	NA
191687	0.174212686651234	NA
199149	0.261950826333911	NA
62513	-0.152155823838048	0.964443189866678
469893	3.26012259969735	0.00139323086038034
186357	0.324382593095637	NA
305760	0.408145525366755	0.495625985630423
306892	0.430843889325492	NA
325236	0.261950826333911	NA
269541	0.23839782871019	NA
277489	-0.569176519037018	0.275002865509591
2045	-0.296895942206113	0.754054765620182
554372	0.324382593095637	NA
84124	0.261950826333911	NA
571767	0.324382593095637	NA
301200	0.402403499785284	NA
195206	0.242478847132909	NA
463007	0.231578679375912	NA
362726	0.434932387622913	NA
586517	0.172522296638851	NA
323903	0.261950826333911	NA
306091	-0.555292856077841	NA
210793	0.299138177775623	NA
168089	0.159396391209433	0.87506852957531
112481	0.324382593095637	NA
295144	0.0544153168896085	NA
42839	0.234954469102515	NA
37798	0.324382593095637	NA
539014	-0.805486478946557	NA
539382	-0.0080205267368701	NA
407576	0.615120974004458	NA
302641	-0.0349540179396431	NA
295705	0.324382593095637	NA
305882	-0.00633607775089518	NA
173948	0.21006212083262	NA
199308	0.36396456798099	NA
162109	0.0561605946026916	NA
455796	0.261950826333911	NA
484401	-1.91866186473769	0.348530028889979
185864	0.263638299179639	NA
470663	0.526325416584578	0.903841658088194
122816	-1.77916582984601	0.196203395169818
99080	0.261950826333911	NA
587004	0.261950826333911	NA
15716	0.115159148659988	NA
71823	0.358129685745092	NA
270842	0.201206532417913	NA
29369	0.361925577738477	NA
295527	0.261950826333911	NA
592015	-0.46825187192222	0.686128577314913
237034	0.939689461515769	NA
469873	0.575133662659542	NA
297531	0.231578679375912	NA
530725	0.331553472726629	NA
146278	0.324382593095637	NA
510921	0.236642219955465	NA
288312	0.261950826333911	NA
591642	0.261950826333911	NA
164569	0.294010446137638	NA
321740	-0.748590197245738	0.149815293678209
278667	0.261950826333911	NA
169845	0.261950826333911	NA
179989	0.295697918983366	NA
76393	0.326070065941365	NA
115024	0.420624012696353	NA
194304	0.324382593095637	NA
407296	0.231578679375912	NA
187743	0.14384058989492	NA
194446	0.653868877755173	NA
326977	0.287144550944159	0.892326513066943
530629	0.356442212899364	NA
29566	0.261950826333911	NA
299755	0.263638299179639	NA
470243	1.8931958853532	0.063420351969389
158971	0.324382593095637	NA
68350	0.378271495382732	NA
248900	0.0561634091026389	NA
176519	0.327757538787093	NA
361013	0.231578679375912	NA
529979	0.324382593095637	NA
192952	0.471257011580923	NA
194648	-1.26603159097645	0.0026567985886095
296883	0.327757853156705	NA
114860	2.31663432529375	NA
180995	-0.777425349178501	0.530895184428341
159715	0.295697918983366	NA
212787	0.112228784109023	0.907139169771382
26715	-1.52405523088265	0.228346008067227
522087	-0.507602152201096	0.803853490459703
470724	0.206268950955097	NA
143519	0.324382593095637	NA
94496	0.872571823109472	NA
174136	0.261950826333911	NA
148090	0.261950826333911	NA
525474	0.356442212899364	NA
148099	0.261950826333911	NA
13839	0.324382593095637	NA
298224	0.324382593095637	NA
107252	0.363961708838511	NA
523363	0.324382593095637	NA
552026	0.231578679375912	NA
15286	0.301181173624375	NA
193210	0.0338757979209057	NA
193211	0.855363433026319	NA
197208	0.324382593095637	NA
207466	-0.234840452965294	0.907139169771382
469646	0.796642528426721	NA
28186	0.326070065941365	NA
304393	0.201206532417913	NA
73894	0.0612332401246092	NA
333807	0.326070065941365	NA
279192	0.428774854278214	NA
541301	-0.884974785385321	0.0746999579944841
181489	0.356442212899364	NA
365909	0.261950826333911	NA
549330	0.261950826333911	NA
174911	-0.0157498103747176	NA
43267	-0.461135217875398	0.66760414388556
88701	2.75573806476497	0.100523572152666
239053	0.354106061803489	NA
258325	0.295697918983366	NA
145696	0.356442212899364	NA
180285	-1.2140608723805	0.00213283828306908
181379	0.236646235549634	NA
107891	0.326070065941365	NA
311009	0.294010446137638	NA
317226	0.0508908873072183	NA
206803	0.324382593095637	NA
570957	0.261950826333911	NA
460478	0.398427608657908	NA
581109	0.0847867684484429	NA
258691	0.252651990199775	NA
196712	0.145531468395451	NA
260518	0.231578679375912	NA
75534	0.267013244871095	NA
215331	0.172521858305642	NA
303900	0.358129685745092	NA
494937	0.586789783443952	NA
336501	0.324382593095637	NA
149327	0.324382593095637	NA
287794	0.358129685745092	NA
167727	0.521950804690272	NA
43465	0.294010446137638	NA
198941	-0.342831032869862	0.432440452498216
561789	0.324382593095637	NA
150546	-0.440344615350922	NA
292073	0.261950826333911	NA
186294	0.23326615222164	NA
181028	0.324382593095637	NA
172163	0.39229567919912	NA
353853	0.261950826333911	NA
589746	0.388501832703091	NA
593352	0.267014208160527	NA
253896	-0.186816637223879	NA
77620	0.261950826333911	NA
293477	0.231578679375912	NA
351583	-1.33425849743821	0.366052997657002
88035	0.55233125627886	NA
322194	0.231578679375912	NA
340603	0.265325772025367	NA
181627	0.261950826333911	NA
515470	-0.0875330604677287	NA
312963	0.231578679375912	NA
469888	0.11346836305557	NA
46278	0.679942917186313	NA
52106	0.263638299179639	NA
290281	0.326070065941365	NA
190038	0.261950826333911	NA
344940	0.231578679375912	NA
344947	0.231578679375912	NA
176070	0.0814099117245525	NA
341089	0.324382593095637	NA
25543	0.356442212899364	NA
289304	-0.288133825652579	NA
583769	-0.429262862947453	NA
297602	0.204582224896837	NA
339852	-0.555469441783109	NA
204093	0.333595543700172	NA
300208	0.324382593095637	NA
509709	0.390128335120484	NA
471156	-0.368584955956322	NA
101445	0.261950826333911	NA
579541	-0.186815940682163	NA
21285	0.831543688306316	0.636912987026529
315391	0.327757538787093	NA
203602	-1.23114718586472	0.462250841902234
349431	0.231578679375912	NA
210095	0.0510387758860374	NA
33199	0.358129685745092	NA
293104	0.202894005263641	NA
578147	0.261950826333911	NA
270543	0.261950826333911	NA
204072	0.222180479245464	NA
44783	0.261950826333911	NA
320354	0.356442212899364	NA
96941	0.356442212899364	NA
564444	0.261950826333911	NA
373870	0.115152510081101	NA
98939	0.231578679375912	NA
269156	0.261950826333911	NA
575074	0.402461382429898	NA
94166	-0.888581073158602	0.33501843259374
210895	0.453039970194959	NA
38515	0.485456011113561	NA
208543	-1.05994966833	0.566717018607204
470429	1.72167324546369	0.1123201406156
167872	-0.182760157677972	NA
290030	0.261950826333911	NA
168212	0.324382593095637	NA
49406	0.356442212899364	NA
252936	0.765528143877337	0.470505192799566
495394	0	NA
168181	-1.70731666427976	0.0026567985886095
294022	0.200482754585147	0.911516621746248
14099	0.261950826333911	NA
347363	0.324382593095637	NA
358594	0.0601962253239946	NA
182122	0.0519811449700938	NA
268604	0.352791845875305	0.907139169771382
182125	0.23326615222164	NA
147991	0.261950826333911	NA
236021	-0.158195485720705	NA
555951	0.339725589216658	NA
90431	0.661926338216874	0.218681733733774
291720	0.111777564389644	NA
365635	0.534041451495758	NA
178915	-0.200797212258074	NA
133222	0.231578679375912	NA
209845	0.238397472015723	NA
212532	0.175903821394109	NA
589197	0.0189736506699193	NA
360268	-0.68607248142564	NA
151623	0.485456011113561	NA
355905	0.324382593095637	NA
313089	0.324382593095637	NA
222308	0.324382593095637	NA
322137	0.308458386640737	NA
189957	-0.646897788739885	0.80368677432251
129426	0.113465037235373	NA
295196	0.23326615222164	NA
549577	0.1720841764934	0.911437422456759
531722	0.231578679375912	NA
211054	-1.27363113070353	0.198389477416506
237468	0.358129685745092	NA
339067	0.201206532417913	NA
68340	0.523972798472606	NA
68341	0.326070065941365	NA
37768	0.231578679375912	NA
258710	0.261950826333911	NA
89770	-0.14488572924201	0.867268498542589
178001	0.356442212899364	NA
204889	-0.49024939947268	NA
194651	-0.567302694075797	0.413202362657131
451672	0.20458225547912	NA
347862	-0.705237751920387	0.126332977167225
18155	0.261950826333911	NA
170131	0.201206532417913	NA
287941	-0.166974618973586	NA
189820	0.210062230682708	NA
589989	0.0966107770049966	NA
549658	0.143840600745433	NA
188313	0.170834385459914	NA
189827	0.294010446137638	NA
547361	0.485456011113561	NA
370121	0.201206532417913	NA
174693	-0.430200994526118	NA
6402	0.202894005263641	NA
178713	0.261950826333911	NA
234346	0.261950826333911	NA
291421	0.261950826333911	NA
318446	0.402484551416293	NA
73666	0.261950826333911	NA
178486	-0.181480014926228	0.907139169771382
188196	0.201206532417913	NA
188194	0.111778770738712	NA
109670	0.358129685745092	NA
15292	0.324382593095637	NA
573135	0.261950826333911	NA
273707	0.363966400906813	NA
590182	0.261950826333911	NA
225088	0.324382593095637	NA
360483	0.324382593095637	NA
279450	0.356442212899364	NA
15054	1.06467613718352	0.197453704586435
294834	-0.0924143179721057	NA
58301	-0.122000250501999	NA
26639	0.261950826333911	NA
156758	0.261950826333911	NA
181432	-0.779189974582709	0.384869555053317
325586	0.299135805167282	NA
115278	0.369366089009348	0.868966899768911
325850	-0.74776837659853	0.653715925828265
249191	-0.212816235918331	0.899700494899082
425038	0	NA
132661	0.149319794873419	NA
184472	0.261950826333911	NA
274536	0.324382593095637	NA
195781	0.326070065941365	NA
183252	0.324382593095637	NA
174902	0.172522480396981	NA
544549	-0.220624493409806	NA
307058	0.270807097207443	NA
13995	0.170834385459914	NA
192232	0.231578679375912	NA
535825	0.0847850028678529	NA
187268	0.210062806211603	NA
315006	0.0544153750679569	NA
177482	0.294010446137638	NA
295471	0.294010446137638	NA
298918	0.295697918983366	NA
170262	0.261950826333911	NA
194870	-0.647865664433665	0.149815293678209
293600	0.261950826333911	NA
214503	0.50608325034981	NA
358748	0.34575332188155	NA
500281	0.52494061798107	0.410636514506778
184518	0.23326615222164	NA
99566	0.324382593095637	NA
182728	0.261950826333911	NA
182724	0.231578679375912	NA
577623	0.324382593095637	NA
